from_vtd10,to_vtd20,weight
120090156,12009000327,0.0002144191
120090157,12009000308,1.0000000000
120090158,12009000303,0.9880903394
120090158,12009000306,0.0096153846
120090158,12009000308,0.0022942760
120090159,12009000403,0.0000170409
120090159,12009000408,0.0106358691
120090159,12009000414,0.9893470900
120090160,12009000404,0.0000347089
120090160,12009000415,0.9999652911
120090161,12009000415,0.9565217391
120090161,12009000437,0.0434782609
120090162,12009000226,1.0000000000
120090163,12009000102,0.0833333333
120090163,12009000227,0.9166666667
120090164,12009000121,0.8747309521
120090164,12009000129,0.1250000000
120090164,12009000131,0.0002690479
120090165,12009000122,1.0000000000
120090166,12009000128,0.0001236441
120090166,12009000131,0.0084899319
120090166,12009000135,0.9909887603
120090166,12095000434,0.0003976637
120090167,12009000410,0.0154661953
120090167,12009000416,0.6429774073
120090167,12009000420,0.1129032258
120090167,12009000421,0.2279903346
120090167,12009000427,0.0006628369
120090168,12009000511,0.0033149939
120090168,12009000518,0.9966850061
120090169,12009000511,0.3333333333
120090169,12009000518,0.6666666667
120090170,12009000504,0.9935279994
120090170,12009000518,0.0064720006
120090171,12009000519,0.9893617021
120090171,12009000521,0.0106382979
120090172,12009000123,1.0000000000
120090173,12009000313,0.2829224466
120090173,12009000316,0.7170775534
120090174,12009000124,1.0000000000
120090175,12009000118,1.0000000000
120090176,12009000212,1.0000000000
120090177,12009000121,0.8571428571
120090177,12009000135,0.1428571429
120090178,12009000209,0.9997160694
120090178,12009000233,0.0002839306
120090179,12009000135,0.0500000000
120090179,12009000219,0.0012623762
120090179,12009000224,0.0250658516
120090179,12009000228,0.5986717722
120090179,12009000435,0.2308519238
120090179,12009000440,0.0941480762
120090180,12009000135,0.0734767384
120090180,12009000228,0.9265232616
120090181,12009000228,1.0000000000
120090182,12009000228,1.0000000000
120090183,12009000417,0.9663486989
120090183,12009000433,0.0169846344
120090183,12009000436,0.0166666667
120090184,12009000418,0.9934370234
120090184,12009000428,0.0065629766
120090185,12009000424,0.0483081867
120090185,12009000441,0.2910199140
120090185,12009000442,0.5068257454
120090185,12009000504,0.1538461538
120090186,12009000229,1.0000000000
120090187,12009000507,0.1279039282
120090187,12009000511,0.6752711267
120090187,12009000518,0.1968249452
120090188,12009000511,0.7617928129
120090188,12009000518,0.2382071871
120090189,12009000511,1.0000000000
120090190,12009000511,1.0000000000
120090191,12009000511,0.5060985371
120090191,12009000518,0.4939014629
120090192,12009000511,0.0847050472
120090192,12009000518,0.9152949528
120090193,12009000426,0.4636078997
120090193,12009000518,0.5363921003
120090194,12009000512,0.6619709224
120090194,12009000525,0.2046957443
120090194,12009000531,0.1333333333
120090195,12009000519,1.0000000000
120090196,12009000512,0.8233765213
120090196,12009000525,0.1766234787
120090197,12009000230,1.0000000000
120090198,12009000520,1.0000000000
120090199,12009000303,1.0000000000
120090200,12009000419,0.8888888889
120090200,12009000431,0.1111111111
120090201,12009000402,0.9777777778
120090201,12009000422,0.0222222222
120090202,12009000420,0.9279380258
120090202,12009000421,0.0720619742
120090203,12009000317,1.0000000000
120090204,12009000404,0.8672062382
120090204,12009000415,0.1327937618
120090205,12009000421,0.9995540789
120090205,12009000430,0.0004459211
120090206,12009000303,1.0000000000
120090207,12009000521,1.0000000000
120090208,12009000510,1.0000000000
120090209,12009000315,1.0000000000
120090210,12009000315,1.0000000000
120090211,12009000422,0.9950859242
120090211,12009000427,0.0049140758
120090212,12009000419,0.9994740001
120090212,12009000431,0.0005259999
120090213,12009000318,1.0000000000
120090214,12009000118,1.0000000000
120090215,12009000114,0.0598481622
120090215,12009000116,0.3442935800
120090215,12009000127,0.5844018892
120090215,12009000134,0.0114563687
120090216,12009000114,0.0262191234
120090216,12009000116,0.9737808766
120090217,12009000118,0.9959835348
120090217,12009000122,0.0040164653
120090218,12009000113,0.1250000000
120090218,12009000124,0.5535714286
120090218,12009000125,0.3214285714
120090219,12009000125,1.0000000000
120090220,12009000209,0.0232558140
120090220,12009000231,0.7674418605
120090220,12009000233,0.2093023256
120090221,12009000231,1.0000000000
120090222,12009000121,0.0769230769
120090222,12009000131,0.9230769231
120090223,12009000129,0.0020837045
120090223,12009000131,0.9964967970
120090223,12009000135,0.0014194985
120090224,12009000131,1.0000000000
120090225,12009000424,0.8750866877
120090225,12009000441,0.1249133123
120090226,12009000102,0.0287966423
120090226,12009000118,0.9712033577
120090227,12009000207,0.9655172414
120090227,12009000209,0.0344827586
120090228,12009000121,1.0000000000
120090229,12009000209,0.9165974050
120090229,12009000233,0.0834025950
120090230,12009000212,1.0000000000
120090231,12009000214,0.6666666667
120090231,12009000234,0.3333333333
120090232,12009000303,0.0069155221
120090232,12009000317,0.9930844779
120090233,12009000519,0.9999533843
120090233,12009000522,0.0000466157
120090234,12009000512,0.0516442208
120090234,12009000522,0.8968804733
120090234,12009000527,0.0000958078
120090234,12009000531,0.0513794981
120090235,12009000522,0.9218282373
120090235,12009000527,0.0781717627
120090236,12009000523,1.0000000000
120090237,12009000523,1.0000000000
120090238,12009000523,1.0000000000
120090239,12009000302,0.0006990212
120090239,12009000312,0.3333333333
